               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.64422,            0.033792,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,           0.0032787,           0.0032787,            0.070492
                   1,             0.50787,            0.031325,                   0,            0.016288,             0.12162,           0.0098202,           0.0023337,              1.1955,              0.1014,                   0,           0.0066084,           0.0066084,            0.040488
                   2,             0.46095,            0.029675,                   0,            0.026234,             0.67568,            0.044786,            0.010345,              1.1421,              1.3662,                   0,           0.0099344,           0.0099344,            0.010481
                   3,             0.42665,            0.028126,                   0,             0.15369,             0.13514,            0.053869,            0.013755,             0.69246,            0.031714,                   0,           0.0099835,           0.0099835,           0.0099835
                   4,             0.40839,             0.02609,                   0,             0.40739,             0.25676,             0.29661,             0.15687,             0.88611,            0.074505,                   0,           0.0099835,           0.0099835,           0.0099835
                   5,             0.39363,            0.025079,                   0,              0.6583,             0.98934,             0.88075,              0.6087,             0.35287,            0.047609,                   0,            0.009978,            0.009978,            0.009978
                   6,             0.34912,            0.023521,                   0,             0.81038,             0.92408,             0.94259,             0.56733,             0.42758,            0.025202,                   0,           0.0099725,           0.0099725,           0.0099725
                   7,             0.33888,            0.022182,                   0,             0.95685,             0.89911,             0.95127,             0.64215,             0.39793,            0.028502,                   0,            0.009967,            0.009967,            0.009967
                   8,             0.32262,            0.022647,                   0,             0.88615,                   1,             0.98411,             0.78188,             0.34495,             0.02342,                   0,           0.0099615,           0.0099615,           0.0099615
                   9,             0.31138,            0.020585,                   0,             0.93263,             0.98649,             0.97288,             0.75556,             0.37633,            0.014166,                   0,            0.009956,            0.009956,            0.009956
                  10,             0.30152,            0.019407,                   0,             0.98412,             0.97297,             0.98384,             0.66016,             0.39636,            0.014765,                   0,           0.0099505,           0.0099505,           0.0099505
                  11,             0.29955,            0.019323,                   0,                   1,              0.9841,               0.995,             0.80212,             0.33225,            0.016047,                   0,            0.009945,            0.009945,            0.009945
                  12,             0.29571,            0.018427,                   0,             0.93007,             0.89863,             0.97515,             0.72255,             0.31807,            0.018762,                   0,           0.0099395,           0.0099395,           0.0099395
                  13,             0.30206,            0.018642,                   0,             0.92194,                   1,             0.98937,             0.84216,             0.29294,             0.01162,                   0,            0.009934,            0.009934,            0.009934
                  14,             0.28047,            0.018105,                   0,             0.97208,             0.94103,             0.98619,             0.79861,                0.29,            0.012606,                   0,           0.0099285,           0.0099285,           0.0099285
                  15,             0.27379,            0.016674,                   0,             0.98657,              0.9925,             0.99473,             0.77362,             0.30504,             0.01256,                   0,            0.009923,            0.009923,            0.009923
                  16,             0.27897,            0.016265,                   0,             0.98647,              0.9854,             0.97762,             0.68658,              0.3309,            0.012284,                   0,           0.0099175,           0.0099175,           0.0099175
                  17,             0.29145,             0.01677,                   0,             0.98666,             0.99954,              0.9938,             0.85205,             0.28496,           0.0097792,                   0,            0.009912,            0.009912,            0.009912
                  18,             0.27627,             0.01686,                   0,             0.95766,             0.94595,             0.97287,             0.61322,             0.38855,            0.015332,                   0,           0.0099065,           0.0099065,           0.0099065
                  19,              0.2584,            0.015954,                   0,             0.98662,             0.99629,              0.9938,              0.8135,             0.29131,            0.010733,                   0,            0.009901,            0.009901,            0.009901
                  20,             0.26069,            0.016362,                   0,             0.82011,             0.87838,             0.82388,             0.52464,             0.45515,            0.017404,                   0,           0.0098955,           0.0098955,           0.0098955
                  21,             0.25973,            0.016086,                   0,             0.88754,              0.7973,             0.85793,             0.63905,             0.40705,            0.015105,                   0,             0.00989,             0.00989,             0.00989
                  22,             0.24744,            0.015029,                   0,             0.99493,                   1,               0.995,             0.89678,              0.2541,            0.009269,                   0,           0.0098845,           0.0098845,           0.0098845
                  23,             0.25374,            0.015087,                   0,                   1,             0.98084,               0.995,             0.84907,             0.26756,            0.012902,                   0,            0.009879,            0.009879,            0.009879
                  24,             0.25446,            0.014695,                   0,             0.99946,             0.98649,             0.99461,              0.8789,             0.27679,           0.0078639,                   0,           0.0098735,           0.0098735,           0.0098735
                  25,             0.24252,            0.014729,                   0,                   1,             0.99632,               0.995,             0.86752,             0.26657,            0.010644,                   0,            0.009868,            0.009868,            0.009868
                  26,             0.23847,            0.014123,                   0,             0.99522,                   1,               0.995,             0.90549,             0.24376,           0.0089325,                   0,           0.0098625,           0.0098625,           0.0098625
                  27,             0.24023,            0.014177,                   0,             0.99795,             0.93243,             0.98781,             0.83277,             0.27005,            0.011848,                   0,            0.009857,            0.009857,            0.009857
                  28,             0.24204,            0.013912,                   0,             0.92026,             0.90541,             0.93725,             0.70511,             0.39283,            0.014416,                   0,           0.0098515,           0.0098515,           0.0098515
                  29,              0.2425,            0.014008,                   0,                   1,             0.95126,             0.99355,             0.88354,             0.25615,           0.0075869,                   0,            0.009846,            0.009846,            0.009846
                  30,             0.23466,            0.014067,                   0,             0.99774,                   1,               0.995,             0.86994,             0.25264,           0.0091125,                   0,           0.0098405,           0.0098405,           0.0098405
                  31,             0.24034,            0.013832,                   0,             0.99736,                   1,               0.995,             0.86605,             0.25829,           0.0077544,                   0,            0.009835,            0.009835,            0.009835
                  32,             0.23591,            0.012929,                   0,             0.98303,             0.98649,             0.98469,             0.90311,             0.28838,           0.0075888,                   0,           0.0098295,           0.0098295,           0.0098295
                  33,             0.24437,            0.013492,                   0,             0.99783,                   1,               0.995,             0.90181,             0.25848,           0.0081027,                   0,            0.009824,            0.009824,            0.009824
                  34,             0.22939,            0.013461,                   0,             0.97545,             0.98649,             0.99366,             0.81338,             0.32869,            0.014232,                   0,           0.0098185,           0.0098185,           0.0098185
                  35,             0.21862,             0.01357,                   0,             0.98377,             0.98649,             0.98168,             0.91797,             0.27188,            0.012106,                   0,            0.009813,            0.009813,            0.009813
                  36,             0.23315,            0.013591,                   0,                   1,             0.95295,             0.99317,             0.89698,             0.25351,           0.0081111,                   0,           0.0098075,           0.0098075,           0.0098075
                  37,             0.23426,             0.01331,                   0,             0.99295,                   1,               0.995,             0.88147,             0.26246,           0.0071876,                   0,            0.009802,            0.009802,            0.009802
                  38,             0.22451,            0.012379,                   0,             0.98704,             0.97297,             0.99447,             0.93668,              0.2418,           0.0073114,                   0,           0.0097965,           0.0097965,           0.0097965
                  39,             0.22312,            0.012267,                   0,              0.9986,                   1,               0.995,              0.9186,             0.23205,           0.0077006,                   0,            0.009791,            0.009791,            0.009791
                  40,             0.21922,            0.012241,                   0,             0.99807,                   1,               0.995,             0.92124,             0.24243,           0.0058431,                   0,           0.0097855,           0.0097855,           0.0097855
                  41,             0.21908,            0.012178,                   0,             0.99623,                   1,               0.995,             0.92664,             0.24296,           0.0064414,                   0,             0.00978,             0.00978,             0.00978
                  42,             0.21814,            0.012405,                   0,             0.99594,                   1,               0.995,             0.92346,              0.2388,           0.0094752,                   0,           0.0097745,           0.0097745,           0.0097745
                  43,              0.2163,            0.012176,                   0,             0.99841,                   1,               0.995,             0.88707,             0.26199,           0.0079927,                   0,            0.009769,            0.009769,            0.009769
                  44,              0.2179,            0.012347,                   0,             0.98663,             0.99744,             0.99487,             0.90858,             0.23953,           0.0098859,                   0,           0.0097635,           0.0097635,           0.0097635
                  45,             0.22591,            0.012521,                   0,             0.95898,                   1,             0.99238,             0.87729,             0.28494,           0.0089353,                   0,            0.009758,            0.009758,            0.009758
                  46,             0.21885,            0.011979,                   0,             0.86135,             0.83952,             0.89414,             0.54916,             0.46819,            0.017032,                   0,           0.0097525,           0.0097525,           0.0097525
                  47,             0.22646,            0.012083,                   0,             0.99923,                   1,               0.995,             0.88749,             0.26285,           0.0072151,                   0,            0.009747,            0.009747,            0.009747
                  48,              0.2288,            0.012867,                   0,             0.98774,             0.97297,             0.99111,             0.83937,              0.3213,            0.011517,                   0,           0.0097415,           0.0097415,           0.0097415
                  49,             0.22986,            0.013216,                   0,             0.99677,                   1,               0.995,             0.87972,             0.25257,            0.010131,                   0,            0.009736,            0.009736,            0.009736
                  50,             0.22412,            0.012485,                   0,             0.99844,                   1,               0.995,             0.90085,             0.25662,           0.0079591,                   0,           0.0097305,           0.0097305,           0.0097305
                  51,             0.21864,            0.012293,                   0,             0.98656,             0.99231,             0.99487,             0.92822,             0.24236,           0.0067736,                   0,            0.009725,            0.009725,            0.009725
                  52,             0.21611,            0.011725,                   0,             0.99598,                   1,               0.995,              0.9389,             0.22825,           0.0069338,                   0,           0.0097195,           0.0097195,           0.0097195
