               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.114,            0.018972,            0.041385,           0.0011614,             0.33333,           0.0012855,          0.00012855,            0.052653,            0.020493,            0.026973,                   0,                   0,                 0.1
                   1,             0.10142,            0.020679,             0.04019,           0.0022353,             0.66667,            0.034303,             0.01381,            0.041315,            0.020429,             0.02697,          9.9924e-05,          9.9924e-05,              0.0991
                   2,            0.084224,            0.024005,            0.034316,           0.0025451,             0.66667,           0.0095612,           0.0033758,            0.049197,            0.020237,            0.028311,           0.0001997,           0.0001997,              0.0982
                   3,            0.079131,            0.024585,            0.036783,           0.0054293,             0.66667,            0.047837,             0.01578,            0.049011,            0.023353,            0.027192,          0.00029931,          0.00029931,            0.097299
                   4,            0.079518,            0.030958,            0.037294,           0.0079183,             0.66667,            0.089175,            0.017835,            0.053354,            0.025925,            0.027812,          0.00039878,          0.00039878,            0.096399
                   5,            0.078071,            0.022001,            0.034908,            0.046593,             0.66667,             0.10319,            0.017689,            0.044753,             0.02722,            0.026841,           0.0004981,           0.0004981,            0.095498
                   6,            0.070725,            0.025571,            0.031861,           0.0053204,             0.33333,            0.014098,           0.0034816,            0.047267,            0.026536,            0.024913,          0.00059726,          0.00059726,            0.094597
                   7,            0.068245,            0.020936,            0.029828,            0.012475,             0.33333,            0.039146,           0.0082046,            0.047936,            0.029753,            0.024123,          0.00069627,          0.00069627,            0.093696
                   8,             0.07104,            0.023343,            0.032358,             0.36245,             0.33333,            0.047381,            0.005202,             0.05874,            0.033376,             0.02548,          0.00079513,          0.00079513,            0.092795
                   9,            0.060937,            0.025155,            0.027923,             0.36235,             0.33333,            0.072864,            0.013102,              0.0658,            0.052196,            0.026992,          0.00089383,          0.00089383,            0.091894
                  10,            0.051088,            0.023613,            0.024576,           0.0038067,             0.66667,           0.0067127,           0.0031843,            0.066113,              0.1185,            0.024239,          0.00099238,          0.00099238,            0.090992
                  11,            0.055041,            0.022226,            0.026662,           0.0033026,             0.66667,           0.0047069,          0.00099438,            0.066929,             0.23689,            0.031345,           0.0010908,           0.0010908,            0.090091
                  12,            0.053896,            0.024014,            0.035728,           0.0030618,             0.33333,           0.0071216,          0.00071216,            0.072138,             0.88025,            0.043682,            0.001189,            0.001189,            0.089189
                  13,            0.061088,            0.021712,            0.030485,           0.0019907,             0.66667,            0.004896,            0.001077,             0.07744,              3.5486,             0.10428,           0.0012871,           0.0012871,            0.088287
                  14,            0.069917,            0.020919,            0.029051,           0.0063311,             0.66667,            0.027952,           0.0027952,            0.094329,              7.2899,             0.17357,           0.0013851,           0.0013851,            0.087385
                  15,            0.056485,            0.019517,             0.02896,          0.00093371,             0.33333,           0.0012239,          0.00012239,            0.081257,              9.2078,             0.17332,           0.0014829,           0.0014829,            0.086483
                  16,            0.070292,            0.019155,            0.025285,          0.00072464,             0.33333,           0.0010397,          0.00041142,            0.079842,              19.706,             0.22801,           0.0015805,           0.0015805,            0.085581
                  17,            0.063407,            0.021719,            0.024315,           0.0016479,             0.66667,           0.0027277,          0.00043535,            0.081578,              35.117,             0.38508,            0.001678,            0.001678,            0.084678
                  18,            0.059459,            0.021562,            0.025091,          0.00052002,             0.33333,           0.0036852,          0.00073704,            0.096362,              48.011,             0.46787,           0.0017753,           0.0017753,            0.083775
                  19,            0.059014,            0.017704,            0.028184,          0.00047281,             0.33333,           0.0038123,          0.00076245,             0.10058,              75.422,             0.71408,           0.0018725,           0.0018725,            0.082873
                  20,            0.055222,            0.021333,            0.024023,                   0,                   0,                   0,                   0,                 nan,                 nan,              1.3394,           0.0019695,           0.0019695,             0.08197
